symbol,sector,yf_ticker,isin
HDFCBANK,Financials-Bank,HDFCBANK.NS,INE040A01034
ICICIBANK,Financials-Bank,ICICIBANK.NS,INE090A01021
SBIN,Financials-Bank,SBIN.NS,INE062A01020
AXISBANK,Financials-Bank,AXISBANK.NS,INE238A01034
KOTAKBANK,Financials-Bank,KOTAKBANK.NS,INE237A01028
BAJFINANCE,Financials-NBFC,BAJFINANCE.NS,INE296A01024
SHRIRAMFIN,Financials-NBFC,SHRIRAMFIN.NS,INE721A01013
BAJAJFINSV,Financials-NBFC,BAJAJFINSV.NS,INE918I01026
SBILIFE,Financials-Insurance,SBILIFE.NS,INE123W01016
JIOFIN,Financials-NBFC,JIOFIN.NS,INE758E01017
HDFCLIFE,Financials-Insurance,HDFCLIFE.NS,INE795G01014
RELIANCE,Energy,RELIANCE.NS,INE002A01018
ONGC,Energy,ONGC.NS,INE213A01029
COALINDIA,Energy,COALINDIA.NS,INE522F01014
BHARTIARTL,Telecom,BHARTIARTL.NS,INE397D01024
LT,Construction,LT.NS,INE018A01030
INFY,IT,INFY.NS,INE009A01021
TCS,IT,TCS.NS,INE467B01029
HCLTECH,IT,HCLTECH.NS,INE860A01027
TECHM,IT,TECHM.NS,INE669C01036
WIPRO,IT,WIPRO.NS,INE075A01022
M&M,Auto,M%26M.NS,INE101A01026
MARUTI,Auto,MARUTI.NS,INE585B01010
BAJAJ-AUTO,Auto,BAJAJ-AUTO.NS,INE917I01010
EICHERMOT,Auto,EICHERMOT.NS,INE066A01021
TATAMOTORS,Auto,TATAMOTORS.NS,INE155A01022
ITC,FMCG,ITC.NS,INE154A01025
HINDUNILVR,FMCG,HINDUNILVR.NS,INE030A01027
NESTLEIND,FMCG,NESTLEIND.NS,INE239A01024
TATACONSUM,FMCG,TATACONSUM.NS,INE192A01025
SUNPHARMA,Pharma,SUNPHARMA.NS,INE044A01036
MAXHEALTH,Healthcare,MAXHEALTH.NS,INE027H01010
APOLLOHOSP,Healthcare,APOLLOHOSP.NS,INE437A01024
DRREDDY,Pharma,DRREDDY.NS,INE089A01023
CIPLA,Pharma,CIPLA.NS,INE059A01026
NTPC,Power,NTPC.NS,INE733E01010
POWERGRID,Power,POWERGRID.NS,INE752E01010
TITAN,Consumer,TITAN.NS,INE280A01028
ASIANPAINT,Consumer,ASIANPAINT.NS,INE021A01026
ETERNAL,ConsumerServices,ETERNAL.NS,INE758T01015
TRENT,ConsumerServices,TRENT.NS,INE849A01020
TATASTEEL,Metals,TATASTEEL.NS,INE081A01020
HINDALCO,Metals,HINDALCO.NS,INE038A01020
JSWSTEEL,Metals,JSWSTEEL.NS,INE019A01038
ADANIENT,Conglomerate,ADANIENT.NS,INE423A01024
BEL,Defence,BEL.NS,INE263A01024
ULTRACEMCO,Cement,ULTRACEMCO.NS,INE481G01011
GRASIM,Cement,GRASIM.NS,INE047A01021
ADANIPORTS,Infrastructure,ADANIPORTS.NS,INE742F01042
INDIGO,Aviation,INDIGO.NS,INE646L01027
